symbol,open,high,low,close,volume,trade_count,vwap,strong_positive
BTC/USD,36976.07,40354.91,36911.68,39696.1,3334.746042,78649.0,38558.9391084499,1.0
BTC/USD,39695.13,40917.92,38810.1,39992.64,3374.14022,86675.0,39902.6834951554,0.0
BTC/USD,39985.43,40650.0,39408.92,39818.53,1436.873181,42458.0,39942.0296648924,1.0
BTC/USD,39818.53,42416.99,38342.35,41831.83,2242.883349,57759.0,40517.1798063173,0.0
BTC/USD,37958.74,39969.15,37502.0,39357.93,2386.514786,56872.0,39068.4861983541,1.0
BTC/USD,39354.17,41414.61,37326.25,40168.01,3598.240831,78479.0,39416.0573542522,1.0
BTC/USD,40168.01,43954.66,40131.21,43319.48,2524.008284,68081.0,42314.2949887727,1.0
BTC/USD,43327.36,44814.67,42472.2,44373.84,2486.366718,68605.0,43791.7249548688,1.0
BTC/USD,44374.68,45354.0,42812.33,43610.33,2977.230434,74992.0,44037.5214084229,1.0
BTC/USD,43606.1,46740.0,43293.79,45474.1,2213.606631,70657.0,45579.3570128881,1.0
BTC/USD,47485.82,48177.53,46039.08,46747.58,1477.087859,50718.0,46895.4879192403,1.0
BTC/USD,46750.0,48063.64,45507.26,47426.45,1789.694345,58463.0,46670.6362070038,1.0
BTC/USD,47426.45,47749.09,45250.0,46394.91,1692.403875,64949.0,46439.1115463166,1.0
BTC/USD,46391.41,47165.97,44200.0,45082.78,1947.147594,87228.0,45504.8660885169,1.0
BTC/USD,45075.78,46025.46,43940.12,44133.99,1449.488259,73449.0,45026.8501812822,1.0
BTC/USD,44142.09,47401.35,44045.95,47100.85,1512.174513,70746.0,45939.5977059922,1.0
BTC/USD,47099.06,49421.07,46713.13,48649.63,1599.208109,68923.0,48313.2624008608,1.0
BTC/USD,48650.81,49830.18,48280.0,49162.91,1158.872682,57685.0,49068.2113301006,1.0
BTC/USD,50343.54,50551.66,48785.5,49498.28,954.577177,43605.0,49682.7373280673,1.0
BTC/USD,49498.28,49875.73,47601.0,48017.23,1189.374031,57782.0,48473.1792098493,1.0
BTC/USD,48014.12,49399.74,47131.39,47883.51,1140.927469,59227.0,48281.6207822969,1.0
BTC/USD,47881.44,48057.45,46300.0,46929.71,1513.295697,67497.0,47021.2380084338,1.0
BTC/USD,46563.07,46753.56,44129.75,45308.72,1407.648332,68073.0,45478.1256072813,0.0
BTC/USD,62361.72,62982.13,59858.58,62414.34,1707.638368,55783.0,61636.8085894527,0.0
BTC/USD,62450.0,64490.61,61358.54,64052.14,1703.929069,57145.0,63157.5468439476,0.0
BTC/USD,64050.55,66996.28,63517.23,65050.04,2148.165472,68950.0,65519.6851787523,0.0
BTC/USD,65056.48,66650.04,8200.0,63057.9,2495.290764,75315.0,59442.8812012573,0.0
BTC/USD,63072.8,63752.79,59930.21,61158.23,1589.794957,52370.0,61575.9295368772,0.0
BTC/USD,61153.25,61742.15,59650.0,60999.26,708.094922,33442.0,60994.973655652,1.0
BTC/USD,61203.35,61408.13,58063.95,58831.23,1962.644132,63835.0,58975.1996224767,0.0
BTC/USD,58825.0,62495.18,57894.73,61539.53,2308.816414,68896.0,60535.5078271344,0.0
BTC/USD,61500.0,62960.12,60367.19,61491.34,1265.73011,46983.0,61687.8674524347,0.0
BTC/USD,62714.29,62782.04,60720.0,62131.68,908.858423,48486.0,61637.5450602601,0.0
BTC/USD,62141.13,62637.26,60778.01,61250.54,747.11607,38409.0,61404.652081971,0.0
BTC/USD,61250.55,62369.52,60112.06,62220.35,672.863854,32010.0,61128.5469049523,0.0
BTC/USD,64701.6,65609.51,64070.99,64696.45,766.815788,36875.0,64964.220645212,1.0
BTC/USD,64696.64,65005.2,62276.67,63613.42,1102.928467,49280.0,63729.9774324757,0.0
BTC/USD,59821.99,60063.01,55629.07,56437.4,2237.47419,84549.0,57737.253923829,0.0
BTC/USD,56445.36,59035.37,55900.01,58456.25,964.751214,47937.0,57756.4852007059,0.0
BTC/USD,56621.38,58291.04,55874.26,57148.7,831.128332,39889.0,56985.7046067313,0.0
BTC/USD,57145.44,59443.07,57116.04,57883.14,805.637875,35868.0,58437.2240141855,1.0
BTC/USD,57873.03,57952.33,53521.0,54300.53,1583.618096,63823.0,54865.0396676721,0.0
BTC/USD,48349.79,49713.5,47805.74,49000.0,660.863215,30290.0,48782.1904634341,0.0
BTC/USD,47728.8,47762.08,45471.57,46610.4,1148.914519,49659.0,46479.422428481,1.0
BTC/USD,47918.98,48076.44,45950.21,46767.25,965.007189,38079.0,47104.0683849039,0.0
BTC/USD,46760.87,47924.27,46700.0,47285.73,596.512445,26773.0,47268.1422833577,0.0
BTC/USD,42114.04,43123.93,41278.35,42716.29,955.261985,31487.0,42346.5014436607,1.0
BTC/USD,42725.68,44344.9,42483.94,43699.9,805.675808,27383.0,43602.1731665058,1.0
BTC/USD,43700.28,44443.98,42328.87,42925.15,907.780937,30930.0,43178.9985256452,1.0
BTC/USD,42918.83,43466.46,41775.37,43011.48,814.671455,28709.0,42773.5580076652,1.0
BTC/USD,41785.29,42579.07,41157.84,41904.53,952.102386,31357.0,41914.0898483863,1.0
BTC/USD,41905.29,43506.83,38240.27,38913.96,1932.446179,57975.0,41055.8184271194,0.0
BTC/USD,38921.99,39291.1,35427.64,35748.15,2331.879032,72319.0,37562.9195214101,0.0
BTC/USD,35747.5,36179.48,34035.0,35455.29,2053.245074,64570.0,35162.4486287406,0.0
BTC/USD,43624.61,44848.48,43226.82,43908.52,698.339978,31002.0,44087.8836589345,0.0
BTC/USD,41794.7,43799.22,41755.53,43599.68,708.082073,36021.0,42700.6587391993,0.0
BTC/USD,43594.31,44775.12,43551.97,44086.16,643.75953,30748.0,44143.8503795584,1.0
BTC/USD,44080.26,44394.97,43331.71,43644.18,605.265661,30351.0,43931.6564032175,0.0
BTC/USD,43642.14,44046.03,40075.37,40658.25,1166.717533,42704.0,41745.8329072098,1.0
BTC/USD,40642.9,41126.49,39454.41,40266.48,664.2047,31352.0,40187.3302593242,0.0
BTC/USD,44302.03,45321.42,43236.53,43351.87,844.934097,41891.0,44117.9077721264,0.0
BTC/USD,39506.49,39619.98,37577.62,38028.52,661.143065,36339.0,38553.8803444614,0.0
BTC/USD,38025.81,39552.31,37166.01,38363.41,1052.591573,43036.0,38373.1998096025,0.0
BTC/USD,38358.49,41883.58,38008.27,41514.18,1252.461647,43940.0,39553.5244096228,1.0
BTC/USD,41521.53,42590.08,38900.0,39219.08,1364.981479,43231.0,41404.7873033528,0.0
BTC/USD,39235.64,40301.73,38200.2,38792.23,1181.691366,35917.0,39139.2152644066,0.0
